Champion	Gold
Camille	1
Darius	1
Elise	1
Fiora	1
Garen	1
Graves	1
Kassadin	1 
Kha'Zix	1
Mordekaiser	1
Nidalee	1
Tristana	1
Vayne	1
Warwick	1
Ahri	2
Blitzcrank	2
Braum	2
Jayce	2
Lissandra	2
Lucian	2
Lulu	2
Pyke	2
Rek'Sai	2
Shen	2
Twisted Fate	2
Varus	2
Zed	2
Aatrox	3
Ashe	3
Evelynn	3
Gangplank	3
Katarina	3
Kennen	3
Morgana	3
Poppy	3
Rengar	3
Shyvana	3
Veigar	3
Vi	3
Volibear	3
Akali	4
Aurelion Sol	4
Brand	4
Cho'Gath	4
Draven	4
Gnar	4
Jinx	4
Kindred	4
Leona	4
Sejuani	4
Anivia	5
Karthus	5
Kayle	5
Miss Fortune	5
Pantheon	5
Swain	5
Yasuo	5
